state,visit_pop_mms,light_pop_mms,bell_pop_mms,crime_pop_mms,G_index
강원도,1.0,0.5373106807743201,0.6691857334091068,0.9268653102475656,0.38364443424098676
경기도,0.16505403865236334,0.10741654891530682,0.4728035629446034,0.5843760005776764,0.08098312809975276
경상남도,0.27309302100957267,0.3002325820200292,0.2418829611996954,0.7016342399388455,0.21643998324698585
경상북도,0.23627740480725,0.6300341682341333,0.45844136667739377,1.0,0.45784854389486085
광주광역시,0.04897235038410207,0.03287471625184987,0.015489304576337326,0.01184872434283192,0.023336347036388996
대구광역시,0.07568325987150838,0.051955735853015585,0.015585956280811353,0.03851505509055363,0.03680153817607162
대전광역시,0.054546909835816795,0.05429036841407354,0.022430289621670617,0.0165459603847807,0.0388317401510512
부산광역시,0.029319439621976497,0.006200146645273245,0.003229583188339543,0.036949930377106255,0.004153662949494139
서울특별시,0.0,0.0,0.06021275375748671,0.019975301163349363,0.0006839630020363538
세종특별자치시,0.0346856657823774,0.024407162032673985,0.0,0.0,0.017215879993093916
울산광역시,0.12094136970284174,0.0794759942157908,0.781924706963288,0.021557865959581778,0.0648413409000461
인천광역시,0.057291987493254024,0.021767762283816154,0.14810754912226937,0.048625015922634095,0.016707031589127126
전라남도,0.5236963424723203,0.9999999999999999,0.5599547358597797,0.7299158044140864,0.7229409639750519
전라북도,0.3460537905993438,0.6129607299225275,0.17389573424979832,0.4378871371220288,0.4408978067119311
제주특별자치도,0.45241594973775007,0.2649186280524583,0.10542977269103908,0.14827878731203337,0.1871118492003399
충청남도,0.45191166651756154,0.6174659575267701,0.9374045232816692,0.4214840558611793,0.4515051299800371
충청북도,0.3414021754561128,0.4378490915770839,1.0,0.4121121447871869,0.3237118092755629
