"행정구역별","시점",데이터
"서울특별시","2017",16095.8
"서울특별시","2018",15983.7
"서울특별시","2019",15926.9
"서울특별시","2020",15839.0
"서울특별시","2021",15650.1
"부산광역시","2017",4437.4
"부산광역시","2018",4409.8
"부산광역시","2019",4379.7
"부산광역시","2020",4348.9
"부산광역시","2021",4316.4
"대구광역시","2017",2776.2
"대구광역시","2018",2766.7
"대구광역시","2019",2750.3
"대구광역시","2020",2728.6
"대구광역시","2021",2702.2
"인천광역시","2017",2752.3
"인천광역시","2018",2761.4
"인천광역시","2019",2776.6
"인천광역시","2020",2765.1
"인천광역시","2021",2772.8
"광주광역시","2017",2985.3
"광주광역시","2018",2973.2
"광주광역시","2019",2972.7
"광주광역시","2020",2948.5
"광주광역시","2021",2944.0
"대전광역시","2017",2828.5
"대전광역시","2018",2801.0
"대전광역시","2019",2777.5
"대전광역시","2020",2758.1
"대전광역시","2021",2742.8
"울산광역시","2017",1090.4
"울산광역시","2018",1083.4
"울산광역시","2019",1076.9
"울산광역시","2020",1069.0
"울산광역시","2021",1055.0
"세종특별자치시","2017",595.0
"세종특별자치시","2018",671.9
"세종특별자치시","2019",727.3
"세종특별자치시","2020",761.3
"세종특별자치시","2021",787.7
"경기도","2017",1261.6
"경기도","2018",1286.2
"경기도","2019",1305.0
"경기도","2020",1325.3
"경기도","2021",1338.9
"강원도","2017",90.4
"강원도","2018",90.3
"강원도","2019",90.3
"강원도","2020",90.4
"강원도","2021",90.4
"충청북도","2017",217.5
"충청북도","2018",218.8
"충청북도","2019",220.0
"충청북도","2020",220.3
"충청북도","2021",219.4
"충청남도","2017",262.9
"충청남도","2018",265.1
"충청남도","2019",265.4
"충청남도","2020",264.0
"충청남도","2021",263.8
"전라북도","2017",226.3
"전라북도","2018",225.3
"전라북도","2019",224.0
"전라북도","2020",223.4
"전라북도","2021",221.4
"전라남도","2017",145.3
"전라남도","2018",145.0
"전라남도","2019",144.8
"전라남도","2020",144.9
"전라남도","2021",143.9
"경상북도","2017",140.7
"경상북도","2018",140.4
"경상북도","2019",140.2
"경상북도","2020",138.9
"경상북도","2021",138.4
"경상남도","2017",317.4
"경상남도","2018",317.9
"경상남도","2019",317.6
"경상남도","2020",316.2
"경상남도","2021",313.6
"제주도","2017",346.9
"제주도","2018",355.8
"제주도","2019",359.4
"제주도","2020",362.6
"제주도","2021",363.8
